Name,Roll_No,Branch,CGPA,DSA_Score,WebDev_Score,ML_Score,Aptitude_Score,Communication_Score,Internships,Projects,Hackathons,Placement_Status,Salary_LPA,Company
Rahul Mukherjee,2100CS094,CSE,7.35,69,39,38,63,44,4,8,1,Placed,9.32,Mphasis
Shivani Malhotra,2100CS095,CSE,10.0,100,100,97,91,78,2,4,5,Placed,22.83,Goldman Sachs
Trisha Das,2300IT096,IT,7.3,61,82,49,38,84,3,7,1,Placed,8.39,Capgemini
Aishwarya Jain,2200CS097,CSE,8.43,89,59,47,67,51,2,4,2,Placed,32.14,Uber
Vidhi Pandey,2300CS098,CSE,8.42,92,60,49,49,39,4,5,1,Placed,7.58,Capgemini
Harsh Bansal,2200IT099,IT,6.04,54,48,41,43,44,1,6,2,Not Placed,0.0,Not Placed
Nikita Dhawan,2300CS100,CSE,6.99,51,64,35,64,97,0,4,0,Not Placed,0.0,Not Placed
Jyoti Chatterjee,2200CS101,CSE,4.0,23,69,48,10,27,2,4,1,Not Placed,0.0,Not Placed
Garima Chauhan,2100IT102,IT,7.55,89,62,37,50,23,4,2,3,Placed,10.67,Cognizant
Isha Saxena,2300IT103,IT,6.5,56,23,48,36,82,2,6,2,Placed,11.88,HCL
Ishaan Verma,2100CS104,CSE,6.84,50,57,53,45,28,2,8,0,Placed,3.32,Genpact
Shivani Kumar,2400CS105,CSE,8.68,94,100,64,68,59,1,8,1,Placed,9.84,Capgemini
Neeraj Nair,2400CE106,CE,6.81,42,36,21,71,43,2,6,1,Not Placed,0.0,Not Placed
Neha Yadav,2100CS107,CSE,7.74,61,67,39,67,77,2,2,1,Placed,11.54,Byju's
Aman Mukherjee,2200CE108,CE,7.97,69,29,58,61,64,3,7,1,Placed,6.6,Wipro
Ananya Khanna,2200CE109,CE,7.33,60,42,51,61,34,3,5,1,Placed,8.02,Byju's
Deepak Jain,2400IT110,IT,5.47,56,61,12,43,61,2,3,1,Not Placed,0.0,Not Placed
Preeti Chatterjee,2400CS111,CSE,8.89,84,86,60,74,68,2,8,1,Placed,24.69,Oracle
Navya Joshi,2400IT112,IT,7.91,71,85,54,89,54,1,3,0,Placed,5.97,Cognizant
Tushar Rastogi,2400EC113,ECE,4.82,14,18,22,31,62,1,4,1,Not Placed,0.0,Not Placed
Kabir Chatterjee,2100IT114,IT,8.69,77,98,49,54,28,2,8,1,Placed,15.78,Goldman Sachs
Kabir Kapoor,2300IT115,IT,8.48,42,49,45,48,52,0,6,4,Placed,3.24,Cyient
Krishna Yadav,2200CE116,CE,7.17,40,15,28,88,41,0,2,3,Placed,6.57,Capgemini
Neeraj Dubey,2100IT117,IT,6.51,51,75,42,52,15,2,6,0,Not Placed,0.0,Not Placed
Pallavi Kapoor,2400CE118,CE,5.94,32,38,26,21,68,0,4,0,Not Placed,0.0,Not Placed
Ananya Dubey,2400ME119,ME,7.54,54,27,41,47,49,0,1,0,Placed,3.05,Amdocs
Himanshu Chopra,2400ME120,ME,5.04,25,30,26,37,59,2,5,1,Placed,4.52,Syntel
Amit Goel,2400CE121,CE,9.78,50,53,45,64,56,2,5,2,Placed,11.95,Paytm
Tanya Bhatt,2200CE122,CE,8.42,93,32,56,55,52,2,8,0,Placed,11.08,Tech Mahindra
Kabir Mukherjee,2400EE123,EE,8.2,60,31,46,65,58,1,4,3,Placed,7.56,TCS
Sakshi Reddy,2200CE124,CE,7.6,78,69,38,53,70,2,4,2,Placed,4.61,Syntel
Rajat Bhatt,2100CS125,CSE,5.84,62,54,45,47,34,2,7,1,Placed,3.13,Amdocs
Sai Mukherjee,2200IT126,IT,7.53,63,57,51,47,47,2,3,1,Placed,4.61,Syntel
Aditya Mehta,2400EE127,EE,6.02,52,34,25,13,58,4,6,2,Not Placed,0.0,Not Placed
Sneha Iyer,2300ME128,ME,8.17,47,61,54,74,100,1,4,1,Placed,4.5,Accenture
Kavya Das,2300EC129,ECE,8.65,61,58,68,51,43,2,8,2,Placed,9.25,Paytm
Vishal Verma,2100ME130,ME,8.36,82,55,50,52,48,3,5,1,Placed,3.1,Sapient
Vikas Kumar,2100ME131,ME,5.5,53,29,19,44,38,3,4,2,Placed,9.34,Zoho
Aryan Tiwari,2100IT132,IT,6.32,62,42,42,36,44,0,3,1,Not Placed,0.0,Not Placed
Aryan Jain,2400IT133,IT,4.23,68,48,16,23,41,2,6,2,Not Placed,0.0,Not Placed
Ankit Dubey,2400CS134,CSE,7.62,89,34,23,57,52,3,5,1,Placed,3.97,iGate
Navya Dhawan,2100ME135,ME,6.24,31,39,40,44,43,1,2,2,Not Placed,0.0,Not Placed
Harsh Patel,2100ME136,ME,5.64,60,14,40,47,41,1,4,0,Not Placed,0.0,Not Placed
Kriti Nair,2400CS137,CSE,10.0,90,83,65,52,50,2,5,1,Placed,13.65,Adobe
Saurabh Saxena,2100CE138,CE,6.58,54,13,41,74,24,0,8,0,Placed,6.36,Hexaware
Vidhi Dhawan,2100EC139,ECE,7.07,36,53,66,55,44,0,4,2,Placed,3.19,Sasken
Amit Bhatt,2400IT140,IT,7.38,56,41,45,42,23,3,5,3,Not Placed,0.0,Not Placed
Aadhya Thakur,2300EC141,ECE,8.25,83,30,40,52,26,0,1,3,Placed,3.87,Mu Sigma
Ritika Patel,2400EC142,ECE,9.24,73,43,38,66,74,3,5,1,Placed,7.57,Accenture
Nupur Yadav,2400ME143,ME,8.05,53,69,61,69,36,4,4,1,Placed,7.62,Wipro
Shivani Bhatt,2400EC144,ECE,6.42,28,22,26,62,62,2,5,1,Not Placed,0.0,Not Placed
Komal Sethi,2300EC145,ECE,9.01,61,62,86,72,65,3,5,1,Placed,8.35,Accenture
Sai Rastogi,2400EC146,ECE,8.03,57,61,64,54,85,4,8,4,Placed,10.01,HCL
Kriti Bajaj,2400IT147,IT,6.76,56,59,48,33,52,4,6,1,Placed,10.99,Accenture
Prateek Malhotra,2200CS148,CSE,6.16,36,54,49,33,61,2,3,1,Not Placed,0.0,Not Placed
Sneha Bhatia,2300IT149,IT,7.89,87,31,63,45,40,3,4,3,Placed,9.24,Accenture
Radhika Rastogi,2100CS150,CSE,9.32,75,63,51,62,27,4,4,3,Placed,6.48,Mindtree
Sai Saxena,2400CS151,CSE,5.51,18,40,46,19,46,0,2,0,Not Placed,0.0,Not Placed
Aishwarya Saxena,2400EC152,ECE,9.1,89,80,74,45,73,2,8,3,Placed,20.35,Samsung R&D
Diya Mishra,2300IT153,IT,7.09,59,62,32,56,34,2,5,3,Placed,4.43,Genpact
Khushi Saxena,2300CS154,CSE,7.85,64,44,37,44,37,0,4,5,Placed,10.03,Mphasis
Aparna Khanna,2300EC155,ECE,8.12,58,41,53,70,22,2,8,2,Placed,10.69,Capgemini
Meghna Iyer,2300CS156,CSE,7.04,59,53,12,50,37,3,4,0,Placed,4.76,iGate
Pooja Agarwal,2200ME157,ME,5.95,29,43,13,25,48,1,4,2,Not Placed,0.0,Not Placed
Anika Bhatt,2200IT158,IT,8.25,72,80,12,40,54,4,8,1,Placed,5.71,HCL
Mayank Joshi,2300CS159,CSE,9.59,81,77,49,67,60,3,3,2,Placed,8.68,Hexaware
Pari Tiwari,2300IT160,IT,9.01,45,85,69,66,33,2,5,1,Placed,7.44,HCL
Riya Goel,2100CE161,CE,7.88,59,24,39,56,100,2,2,3,Placed,4.69,Cyient
Kabir Gupta,2100IT162,IT,8.72,67,40,47,53,54,2,5,2,Placed,7.32,Mindtree
Khushi Jain,2400ME163,ME,7.45,26,59,30,37,40,1,4,0,Not Placed,0.0,Not Placed
Aarav Chopra,2300EC164,ECE,7.06,50,56,53,40,51,2,8,0,Placed,4.82,Syntel
Jyoti Kapoor,2200ME165,ME,7.76,83,69,46,69,33,2,4,1,Placed,11.31,TCS
Aparna Agarwal,2100EC166,ECE,6.21,64,48,53,34,62,2,5,1,Not Placed,0.0,Not Placed
Ritika Kumar,2100EC167,ECE,8.04,68,63,39,66,58,2,2,0,Placed,11.09,Wipro
Ankit Goel,2100CS168,CSE,6.85,59,29,60,58,44,4,5,3,Placed,3.04,Genpact
Manish Das,2200IT169,IT,7.11,66,79,55,32,61,3,7,4,Placed,6.22,Zoho
Jyoti Chatterjee,2300EC170,ECE,7.74,25,61,62,47,54,1,6,2,Placed,4.2,Sasken
Simran Chopra,2100CS171,CSE,6.27,46,80,52,50,56,3,8,3,Placed,4.89,L&T Infotech
Himanshu Dubey,2200CS172,CSE,6.53,53,66,43,50,62,1,7,5,Placed,4.95,iGate
Shaurya Saxena,2200ME173,ME,6.96,46,31,34,27,41,1,5,1,Not Placed,0.0,Not Placed
Shaurya Sharma,2400CS174,CSE,6.92,53,38,21,42,52,1,4,0,Not Placed,0.0,Not Placed
Khushi Dhawan,2400EC175,ECE,7.12,45,51,46,88,56,1,3,1,Not Placed,0.0,Not Placed
Saanvi Srivastava,2300IT176,IT,9.49,80,100,69,77,64,2,8,2,Placed,16.16,Goldman Sachs
Aadhya Srivastava,2300CS177,CSE,7.17,90,83,79,49,55,2,5,2,Placed,4.85,Sasken
Gaurav Agarwal,2200EE178,EE,5.82,41,59,20,30,41,2,5,1,Not Placed,0.0,Not Placed
Kabir Yadav,2100EC179,ECE,7.75,47,58,14,48,51,3,2,0,Not Placed,0.0,Not Placed
Shaurya Goel,2300CE180,CE,4.41,0,16,25,0,32,1,4,0,Not Placed,0.0,Not Placed
Anika Iyer,2300EC181,ECE,5.97,51,42,42,96,9,3,1,1,Placed,4.87,Hexaware
Kavya Thakur,2400ME182,ME,7.5,41,33,32,71,42,1,3,3,Placed,4.55,Syntel
Abhishek Gupta,2400CS183,CSE,9.06,77,65,59,70,54,3,8,4,Placed,23.22,Flipkart
Diya Mishra,2200CS184,CSE,5.53,39,61,24,46,41,0,1,1,Not Placed,0.0,Not Placed
Himanshu Rastogi,2100EC185,ECE,7.88,55,21,68,68,61,3,3,0,Placed,9.48,Zoho
Vishal Rajput,2400IT186,IT,8.52,71,83,31,51,44,1,5,1,Placed,7.75,Byju's
Riya Sethi,2400CS187,CSE,5.55,47,25,27,47,60,3,6,2,Placed,4.15,Syntel
Vishal Bhatia,2400IT188,IT,9.22,91,69,50,55,58,1,8,0,Placed,7.93,Accenture
Trisha Patel,2200CS189,CSE,7.14,40,65,13,65,58,1,4,0,Placed,3.93,Sapient
Khushi Rawat,2300IT190,IT,6.86,66,73,29,43,70,2,6,1,Placed,11.78,Mphasis
Preeti Khanna,2100EC191,ECE,6.12,36,42,20,39,58,2,3,3,Not Placed,0.0,Not Placed
Isha Malhotra,2300CS192,CSE,7.15,49,85,29,43,54,2,3,1,Placed,3.46,Sapient
Aman Reddy,2100EC193,ECE,8.52,70,50,75,82,81,2,8,3,Placed,8.36,Mphasis
Pallavi Singh,2200IT194,IT,5.22,53,39,30,23,67,2,6,3,Not Placed,0.0,Not Placed
Shivani Rawat,2400IT195,IT,8.09,37,82,40,54,80,4,3,2,Placed,6.25,Zoho
Pranav Rastogi,2200CS196,CSE,7.05,52,42,41,51,40,1,2,1,Placed,3.8,iGate
Khushi Rawat,2100EE197,EE,6.55,19,48,17,59,44,2,3,0,Not Placed,0.0,Not Placed
Tushar Dhawan,2200CS198,CSE,7.37,50,70,39,12,44,1,6,0,Not Placed,0.0,Not Placed
Harsh Khanna,2100IT199,IT,5.79,42,47,26,34,28,2,5,0,Not Placed,0.0,Not Placed
Isha Srivastava,2100EC200,ECE,7.92,73,44,68,64,40,2,4,5,Placed,25.57,Samsung R&D
Vikas Yadav,2400IT201,IT,6.66,67,16,28,53,52,3,3,0,Placed,4.78,iGate
Pallavi Joshi,2400EE202,EE,6.01,29,24,43,54,54,1,6,1,Not Placed,0.0,Not Placed
Deepak Khanna,2200EC203,ECE,8.21,49,65,68,64,48,4,3,1,Placed,4.26,Amdocs
Abhishek Thakur,2200IT204,IT,5.86,51,63,8,43,63,2,2,1,Not Placed,0.0,Not Placed
Kabir Das,2300CS205,CSE,8.43,59,81,83,65,56,3,3,1,Placed,9.46,Byju's
Aanya Bansal,2300EC206,ECE,7.01,50,28,61,59,84,1,1,3,Placed,10.35,Paytm
Sara Chatterjee,2400CS207,CSE,6.71,37,37,40,43,59,0,4,0,Placed,6.86,Accenture
Aishwarya Bhatt,2400CS208,CSE,9.2,44,90,64,51,37,2,5,5,Placed,5.9,Tech Mahindra
Priya Saxena,2400CS209,CSE,9.23,75,36,75,73,52,4,4,0,Placed,5.29,HCL
Saanvi Malhotra,2400EC210,ECE,5.44,38,54,38,36,34,2,7,2,Not Placed,0.0,Not Placed
Anjali Yadav,2400IT211,IT,9.56,79,67,68,85,80,2,6,2,Placed,7.04,TCS
Ravi Sethi,2300EC212,ECE,7.85,43,29,21,31,28,2,3,3,Placed,8.86,Paytm
Varun Patel,2400IT213,IT,6.75,44,44,17,42,34,0,6,0,Not Placed,0.0,Not Placed
Sachin Yadav,2400EC214,ECE,7.05,62,31,35,47,29,2,5,2,Not Placed,0.0,Not Placed
Vihaan Joshi,2300EE215,EE,8.23,68,7,57,62,50,3,3,1,Placed,5.49,Accenture
Megha Mishra,2300IT216,IT,5.88,71,47,19,37,60,1,4,2,Placed,4.57,Cyient
Nidhi Rawat,2100EC217,ECE,8.62,74,54,91,75,65,3,5,1,Placed,7.81,L&T Infotech
Aryan Bansal,2200CS218,CSE,6.88,50,42,39,53,4,1,4,0,Placed,11.09,Hexaware
Gaurav Patel,2100EC219,ECE,9.58,78,38,55,73,50,1,2,1,Placed,11.92,Tech Mahindra
Dev Goel,2100ME220,ME,8.37,32,74,69,57,7,2,2,0,Placed,4.46,Mu Sigma
Ananya Bansal,2300IT221,IT,8.01,49,49,55,72,28,4,5,2,Placed,25.18,Flipkart
Sara Saxena,2400IT222,IT,6.68,72,40,60,64,54,3,4,2,Placed,3.27,Sasken
Shaurya Pandey,2100CS223,CSE,9.45,75,48,57,99,25,3,6,0,Placed,7.16,L&T Infotech
Shivani Saxena,2400ME224,ME,5.25,39,44,52,44,59,2,3,2,Not Placed,0.0,Not Placed
Advaith Iyer,2300CS225,CSE,7.23,71,56,42,33,54,3,4,5,Placed,4.5,Syntel
Trisha Sharma,2400CE226,CE,5.58,40,20,16,26,26,1,3,0,Not Placed,0.0,Not Placed
Vidhi Bhatt,2200CS227,CSE,5.95,38,17,56,57,44,2,7,0,Placed,4.79,NIIT
Meghna Sethi,2300CS228,CSE,6.93,53,52,60,33,63,2,7,4,Placed,4.46,Amdocs
Sonal Goel,2200EC229,ECE,6.31,43,14,26,19,70,0,2,2,Not Placed,0.0,Not Placed
Aparna Patel,2200ME230,ME,5.39,16,33,13,32,36,0,6,3,Not Placed,0.0,Not Placed
Kriti Bhatia,2300EC231,ECE,7.31,47,33,50,56,72,2,8,1,Not Placed,0.0,Not Placed
Diya Reddy,2300CS232,CSE,7.26,89,48,61,56,44,2,8,3,Placed,5.34,TCS
Abhishek Rawat,2300IT233,IT,8.13,72,63,23,70,71,2,1,2,Placed,3.71,Genpact
Pooja Tiwari,2300IT234,IT,4.13,45,34,32,10,40,4,4,2,Not Placed,0.0,Not Placed
Tushar Patel,2100IT235,IT,8.68,51,59,51,87,71,4,4,1,Placed,4.5,Cognizant
Saanvi Sethi,2300CE236,CE,7.67,66,52,37,53,65,1,5,0,Placed,4.6,Concentrix
Ritvik Malhotra,2400IT237,IT,6.86,87,41,54,49,45,4,8,0,Placed,7.53,Wipro
Krishna Bhatt,2300CS238,CSE,6.87,74,32,28,52,25,1,6,1,Not Placed,0.0,Not Placed
Navya Mehta,2400IT239,IT,6.13,58,37,36,30,50,0,5,5,Placed,3.4,iGate
Anika Iyer,2100CS240,CSE,6.48,32,66,2,52,32,1,5,1,Not Placed,0.0,Not Placed
Himanshu Srivastava,2400CS241,CSE,5.35,41,49,39,34,51,0,5,0,Not Placed,0.0,Not Placed
Isha Reddy,2100EE242,EE,8.57,72,51,40,77,29,2,4,0,Placed,9.32,Cognizant
Deepak Arora,2300EC243,ECE,6.07,25,64,27,49,72,1,4,1,Not Placed,0.0,Not Placed
Aditi Arora,2100CS244,CSE,5.83,57,32,30,33,31,0,1,1,Not Placed,0.0,Not Placed
Vishal Verma,2300CS245,CSE,7.24,67,84,46,65,25,1,8,1,Placed,6.2,Byju's
Vikas Kumar,2400ME246,ME,7.03,62,50,36,42,0,1,8,4,Placed,4.35,iGate
Anika Jain,2100IT247,IT,6.72,46,74,17,54,54,1,7,2,Placed,9.8,TCS
Ritika Agarwal,2100CS248,CSE,6.26,50,61,17,46,69,1,8,1,Placed,4.19,Genpact
Mohit Iyer,2300IT249,IT,6.74,74,49,49,42,50,3,6,1,Placed,3.64,Cyient
Nikita Yadav,2400EC250,ECE,7.79,71,60,47,61,55,2,3,1,Placed,17.49,Microsoft
Shivani Das,2300IT251,IT,8.95,84,67,57,68,65,1,7,1,Placed,14.8,Google
Sneha Chatterjee,2400IT252,IT,6.49,83,57,6,53,44,3,4,2,Placed,8.14,HCL
Pari Arora,2300CS253,CSE,7.93,69,67,27,66,4,1,3,2,Placed,4.15,Mu Sigma
Kavya Tiwari,2100CS254,CSE,7.41,55,47,56,46,49,1,4,1,Placed,6.64,Paytm
Isha Dubey,2100EC255,ECE,8.26,45,2,38,73,63,0,4,0,Placed,4.7,Mu Sigma
Neha Jain,2200EC256,ECE,6.17,42,64,10,46,37,3,8,0,Not Placed,0.0,Not Placed
Himanshu Khanna,2200CE257,CE,6.34,54,60,17,36,44,1,2,1,Placed,4.97,Sasken
Advaith Kapoor,2200CS258,CSE,7.15,56,46,67,46,51,0,5,2,Placed,3.73,Sasken
Kabir Yadav,2200EE259,EE,7.65,42,27,58,66,63,0,4,3,Placed,7.76,Mindtree
Riya Agarwal,2100CE260,CE,6.29,26,29,54,28,85,2,2,1,Not Placed,0.0,Not Placed
